Date,Sales
2023-01-01,263
2023-01-02,188
2023-01-03,229
2023-01-04,257
2023-01-05,210
2023-01-06,210
2023-01-07,188
2023-01-08,219
2023-01-09,212
2023-01-10,247
2023-01-11,209
2023-01-12,187
2023-01-13,199
2023-01-14,222
2023-01-15,210
2023-01-16,271
2023-01-17,209
2023-01-18,225
2023-01-19,289
2023-01-20,272
2023-01-21,180
2023-01-22,238
2023-01-23,193
2023-01-24,263
2023-01-25,223
2023-01-26,209
2023-01-27,201
2023-01-28,238
2023-01-29,228
2023-01-30,192
2023-01-31,253
2023-02-01,243
2023-02-02,270
2023-02-03,239
2023-02-04,222
2023-02-05,237
2023-02-06,187
2023-02-07,187
2023-02-08,238
2023-02-09,259
2023-02-10,258
2023-02-11,282
2023-02-12,231
2023-02-13,267
2023-02-14,244
2023-02-15,232
2023-02-16,214
2023-02-17,177
2023-02-18,225
2023-02-19,282
2023-02-20,248
2023-02-21,277
2023-02-22,246
2023-02-23,283
2023-02-24,268
2023-02-25,270
2023-02-26,253
2023-02-27,227
2023-02-28,174
2023-03-01,261
2023-03-02,275
2023-03-03,230
2023-03-04,247
2023-03-05,217
2023-03-06,262
2023-03-07,232
2023-03-08,219
2023-03-09,250
2023-03-10,243
2023-03-11,218
2023-03-12,244
2023-03-13,233
2023-03-14,198
2023-03-15,246
2023-03-16,217
2023-03-17,230
2023-03-18,232
2023-03-19,196
2023-03-20,233
2023-03-21,214
2023-03-22,223
2023-03-23,188
2023-03-24,273
2023-03-25,202
2023-03-26,245
2023-03-27,204
2023-03-28,237
2023-03-29,188
2023-03-30,124
2023-03-31,213
2023-04-01,243
2023-04-02,136
2023-04-03,206
2023-04-04,246
2023-04-05,174
2023-04-06,155
2023-04-07,164
2023-04-08,177
2023-04-09,205
2023-04-10,156
2023-04-11,167
2023-04-12,121
2023-04-13,171
2023-04-14,136
2023-04-15,219
2023-04-16,232
2023-04-17,183
2023-04-18,161
2023-04-19,204
2023-04-20,159
2023-04-21,132
2023-04-22,189
2023-04-23,198
2023-04-24,177
2023-04-25,197
2023-04-26,126
2023-04-27,163
2023-04-28,166
2023-04-29,233
2023-04-30,173
2023-05-01,158
2023-05-02,112
2023-05-03,164
2023-05-04,190
2023-05-05,254
2023-05-06,173
2023-05-07,140
2023-05-08,143
2023-05-09,162
2023-05-10,160
2023-05-11,112
2023-05-12,148
2023-05-13,112
2023-05-14,158
2023-05-15,195
2023-05-16,174
2023-05-17,159
2023-05-18,166
2023-05-19,113
2023-05-20,127
2023-05-21,180
2023-05-22,212
2023-05-23,176
2023-05-24,144
2023-05-25,167
2023-05-26,177
2023-05-27,88
2023-05-28,212
2023-05-29,161
2023-05-30,161
2023-05-31,172
2023-06-01,165
2023-06-02,145
2023-06-03,154
2023-06-04,180
2023-06-05,160
2023-06-06,172
2023-06-07,173
2023-06-08,137
2023-06-09,201
2023-06-10,131
2023-06-11,171
2023-06-12,149
2023-06-13,129
2023-06-14,93
2023-06-15,153
2023-06-16,211
